Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
49;20699;"Current Science";journal;"00113891";"Indian Academy of Sciences";Yes;No;0,281;Q2;150;628;2215;14749;1885;1489;0,84;23,49;26,84;33;India;Asiatic Region;"Indian Academy of Sciences";"1945-1951, 1973-1991, 1993-2026";"Multidisciplinary (Q2)";"Multidisciplinary"
50;145055;"Xi'an Shiyou Daxue Xuebao (Ziran Kexue Ban)/Journal of Xi'an Shiyou University, Natural Sciences Edition";journal;"1673064X";"Xi'an Petroleum Institute";No;No;0,278;Q2;20;109;328;2092;155;328;0,40;19,19;32,14;0;China;Asiatic Region;"Xi'an Petroleum Institute";"2005-2025";"Multidisciplinary (Q2)";"Multidisciplinary"
51;19700173166;"Acta Polytechnica Hungarica";journal;"17858860";"Obuda University";Yes;No;0,277;Q2;49;121;326;3780;897;314;3,26;31,24;28,32;0;Hungary;Eastern Europe;"Obuda University";"2004-2026";"Engineering (miscellaneous) (Q2); Multidisciplinary (Q2)";"Engineering; Multidisciplinary"
52;22447;"Journal of the Indian Institute of Science";journal;"00194964, 09704140";"Indian Institute of Science";No;No;0,276;Q2;46;70;122;3669;151;100;1,53;52,41;22,15;1;India;Asiatic Region;"Indian Institute of Science";"1974, 1976-1978, 1983-1984, 1988, 1995-2025";"Multidisciplinary (Q2)";"Multidisciplinary"
53;23531;"Sadhana - Academy Proceedings in Engineering Sciences";journal;"09737677, 02562499";"Springer India";Yes;No;0,268;Q2;66;286;636;8836;945;618;1,37;30,90;16,70;0;India;Asiatic Region;"Springer India";"1984-2026";"Multidisciplinary (Q2)";"Multidisciplinary"
54;1300147101;"Foundations of Science";journal;"12331821, 15728471";"Springer Science and Business Media B.V.";No;No;0,265;Q2;35;60;152;3127;166;144;1,01;52,12;15,29;0;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1995, 1997-2002, 2005-2026";"History and Philosophy of Science (Q2); Multidisciplinary (Q2)";"Arts and Humanities; Multidisciplinary"
55;21100324700;"Kuwait Journal of Science";journal;"23074108, 23074116";"Elsevier B.V.";Yes;Yes;0,262;Q2;28;45;145;1095;143;145;0,97;24,33;31,20;0;Netherlands;Western Europe;"Elsevier B.V.";"2013-2026";"Multidisciplinary (Q2)";"Multidisciplinary"
56;23285;"Natures Sciences Societes";journal;"12401307, 17652979";"EDP Sciences";Yes;Yes;0,257;Q2;24;35;131;1043;51;114;0,37;29,80;36,84;0;France;Western Europe;"EDP Sciences";"1995-2026";"Multidisciplinary (Q2); Social Sciences (miscellaneous) (Q2); Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences; Environmental Science; Multidisciplinary; Social Sciences"
57;22386;"Hunan Daxue Xuebao/Journal of Hunan University Natural Sciences";journal;"16742974";"Hunan University";No;No;0,256;Q2;26;204;746;4061;427;746;0,51;19,91;33,43;0;China;Asiatic Region;"Hunan University";"1992-1993, 1996, 2001-2025";"Multidisciplinary (Q2)";"Multidisciplinary"
58;21100440523;"Interaction Design and Architecture(s)";journal;"18269745, 22832998";"ASLERD";Yes;Yes;0,256;-;22;33;116;1487;97;105;0,46;45,06;59,55;0;Italy;Western Europe;"ASLERD";"2007, 2011-2026";"Architecture (Q2); Media Technology (Q2); Computer Science Applications (Q3); Human-Computer Interaction (Q3); Pharmacology (Q3); Social Sciences (miscellaneous) (Q3)";"Computer Science; Engineering; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
59;7700153224;"Sains Malaysiana";journal;"01266039";"Penerbit Universiti Kebangsaan Malaysia";No;No;0,251;Q2;51;318;944;10894;1057;944;1,18;34,26;44,46;7;Malaysia;Asiatic Region;"Penerbit Universiti Kebangsaan Malaysia";"2006-2026";"Multidisciplinary (Q2)";"Multidisciplinary"
60;23649;"Journal of Scientific and Industrial Research";journal;"09751084, 00224456";"National Institute of Science Communication and Policy Research";Yes;Yes;0,250;Q2;67;196;394;2737;442;394;1,10;13,96;32,55;0;India;Asiatic Region;"National Institute of Science Communication and Policy Research";"1969-1970, 1972-1978, 1980, 1982-1991, 1994-2025";"Multidisciplinary (Q2)";"Multidisciplinary"
61;31728;"Comptes Rendus de L'Academie Bulgare des Sciences";journal;"13101331";"Academic Publishing House";Yes;No;0,244;Q2;24;217;645;3512;311;645;0,46;16,18;50,54;0;Bulgaria;Eastern Europe;"Academic Publishing House";"1977-1985, 2002-2003, 2007-2025";"Multidisciplinary (Q2)";"Multidisciplinary"
62;21100778849;"Southeast Asian Studies";journal;"21867275, 24238686";"Center for Southeast Asian Studies";Yes;No;0,243;-;15;14;54;903;43;51;0,50;64,50;38,89;1;Japan;Asiatic Region;"Center for Southeast Asian Studies";"2012-2025";"Political Science and International Relations (Q2); Development (Q3); Geography, Planning and Development (Q3)";"Social Sciences"
63;21100862487;"International Journal of Language and Culture";journal;"22143157, 22143165";"John Benjamins Publishing Company";No;No;0,241;Q2;12;15;33;684;18;32;0,61;45,60;75,00;0;Netherlands;Western Europe;"John Benjamins Publishing Company";"2014-2025";"Multidisciplinary (Q2)";"Multidisciplinary"
64;22963;"Interdisciplinary Science Reviews";journal;"03080188, 17432790";"SAGE Publications Ltd";No;No;0,236;Q2;35;37;88;1563;74;79;1,00;42,24;36,73;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"1976-2025";"History and Philosophy of Science (Q2); Multidisciplinary (Q2); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Multidisciplinary; Social Sciences"
65;21100896466;"International Journal of Service Science, Management, Engineering, and Technology";journal;"19479603, 1947959X";"IGI Global Publishing";No;No;0,230;Q2;22;31;65;1586;150;65;1,83;51,16;30,65;0;United States;Northern America;"IGI Global Publishing";"2012, 2014-2015, 2017-2026";"Multidisciplinary (Q2); Business, Management and Accounting (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Engineering (miscellaneous) (Q3)";"Business, Management and Accounting; Computer Science; Engineering; Multidisciplinary"
66;5700165172;"World Review of Science, Technology and Sustainable Development";journal;"17412242, 17412234";"Inderscience Enterprises Ltd";No;No;0,230;Q2;21;22;65;926;43;63;0,73;42,09;31,37;0;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2010, 2012-2024";"Multidisciplinary (Q2)";"Multidisciplinary"
67;75573;"Tianjin Daxue Xuebao (Ziran Kexue yu Gongcheng Jishu Ban)/Journal of Tianjin University Science and Technology";journal;"04932137";"Tianjin University";No;No;0,220;Q2;26;159;590;3310;307;590;0,55;20,82;34,95;0;China;Asiatic Region;"Tianjin University";"1982-1988, 2003-2026";"Multidisciplinary (Q2)";"Multidisciplinary"
68;84932;"Chinese Science Bulletin";journal;"0023074X, 20959419";"Science Press";No;No;0,219;Q2;57;453;1162;20889;1199;1162;1,12;46,11;37,43;0;China;Asiatic Region;"Science Press";"1963-1964, 1980-1984, 1989, 2015-2026";"Multidisciplinary (Q2)";"Multidisciplinary"
